"","gender","education level","province","marital status","experience of finance","The level of risk reverse","finance problem 1","finance problem 2","The condition of the answer of financial problems","real estate","fund","stock","bond","internet planning","financial planning","derivative","gold","no RMB asset","pension insurance","medical issurance","business issurance","educational investment"
"1122","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1123","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1124","male","junior high","江苏省","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1125","male","junior high","江苏省","married","No","Else","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1126","male","junior high","江苏省","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1127","male","junior high","江苏省","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1128","femal","none","江苏省","widowed","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1129","male","junior high","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1130","male","senior high","江苏省","divorce","No","Risk Neutral","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No"
"1131","male","senior high","江苏省","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1132","femal","undergraduate","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1133","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1134","femal","senior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1135","femal","primary","江苏省","widowed","No","Else","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1136","femal","primary","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1137","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","No","No","No","No"
"1138","femal","primary","江苏省","married","Yes","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"1139","male","junior high","江苏省","married","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1140","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1141","femal","primary","江苏省","married","Yes","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1142","male","junior high","江苏省","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1143","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1144","male","junior high","江苏省","married","Yes","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1145","male","primary","江苏省","married","No","Else","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1146","male","primary","江苏省","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1147","femal","senior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1148","male","senior high","江苏省","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1149","femal","senior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1150","male","master","江苏省","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"1151","male","senior high","江苏省","married","No","Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1152","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1153","femal","senior high","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1154","femal","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1155","femal","college","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1156","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1157","male","undergraduate","江苏省","married","No","Little Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1158","male","senior high","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"1159","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1160","male","undergraduate","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1161","male","none","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1162","femal","none","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1163","male","none","江苏省","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1164","femal","junior high","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1165","femal","special school","江苏省","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1166","femal","none","江苏省","widowed","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1167","male","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1168","male","junior high","江苏省","married","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1169","male","junior high","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1170","femal","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1171","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1172","femal","none","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1173","femal","none","江苏省","married","No","Risk Preference","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1174","femal","none","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1175","femal","junior high","江苏省","married","No","Risk Neutral","Yes","No","one","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1176","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1177","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"1178","femal","junior high","江苏省","married","No","Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1179","male","junior high","江苏省","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1180","male","primary","江苏省","married","Yes","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"1181","male","none","江苏省","married","No","Risk Neutral","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1182","male","junior high","江苏省","married",NA,"Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1183","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1184","femal","junior high","江苏省","married","No","Else","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1185","femal","primary","江苏省","married","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1186","femal","senior high","江苏省","married","Yes","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1187","male","primary","江苏省","unmarried","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1188","male","junior high","江苏省","married","No","Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1189","male","primary","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1190","femal","senior high","江苏省","married","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1191","femal","primary","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1192","male","junior high","江苏省","married","No","Else","Yes","No","one","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"1193","male","junior high","江苏省","married","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1194","male","none","江苏省","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1195","femal","undergraduate","江苏省","married","Yes","Risk Reverse","No","No","none","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1196","femal","college","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1197","male","junior high","江苏省","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1198","male","junior high","江苏省","unmarried","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1199","male","junior high","江苏省","divorce","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1200","femal","none","江苏省","married","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1201","male","junior high","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1202","male","senior high","江苏省","separated","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1203","femal","primary","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1204","male","junior high","江苏省","married","No","Risk Neutral","No","No","none","No","No","No","No","No","No","No","No","No","No","No","No","No"
"1205","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1206","male","junior high","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1207","femal","junior high","江苏省","married","No","Risk Preference","No","No","none","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No"
"1208","male","senior high","江苏省","married","No","Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1209","male","junior high","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"1210","femal","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1211","femal","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1212","male","junior high","江苏省","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1213","male","junior high","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1214","femal","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1215","male","junior high","江苏省","married","No","Little Risk Reverse","No","Yes","one","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1216","male","senior high","江苏省","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1217","male","primary","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1218","male","junior high","江苏省","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1219","male","senior high","江苏省","married","Yes","Risk Reverse","Yes","Yes","two","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1220","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"1221","femal","primary","江苏省","married","No","Risk Neutral","Yes","No","one","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1222","femal","college","江苏省","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1223","male","special school","江苏省","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1224","femal","primary","江苏省","married","No","Little Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1225","male","undergraduate","江苏省","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No"
"1226","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1227","femal","junior high","江苏省","married","No","Little Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1228","femal","senior high","江苏省","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1229","male","special school","江苏省","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1230","femal","junior high","江苏省","married","No","Risk Neutral","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1231","male","senior high","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1232","male","primary","江苏省","married","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1233","femal","undergraduate","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1234","male","undergraduate","江苏省","married","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1235","male","undergraduate","江苏省","married","No","Little Risk Preference","Yes","Yes","two","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"1236","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1237","femal","junior high","江苏省","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1238","femal","primary","江苏省","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1239","male","undergraduate","江苏省","married","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1240","femal","junior high","江苏省","widowed","No","Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1241","male","senior high","江苏省","married","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1242","femal","undergraduate","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No"
"1243","male","senior high","江苏省","married","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1244","male","senior high","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1245","male","senior high","江苏省","married","No","Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1246","male","junior high","江苏省","married","No","Risk Neutral","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1247","male","junior high","江苏省","married","No","Risk Preference","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1248","femal","junior high","江苏省","married","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1249","male","junior high","江苏省","married","No","Risk Preference","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1250","femal","junior high","江苏省","married","No","Risk Preference","No","Yes","one","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1251","male","special school","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"1252","femal","junior high","江苏省","divorce","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1253","male","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1254","male","junior high","江苏省","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1255","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1256","male","primary","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1257","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1258","male","none","江苏省","married","No","Else","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1259","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1260","male","junior high","江苏省","married","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1261","male","senior high","江苏省","married","Yes","Little Risk Reverse","No","No","none","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1262","femal","junior high","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1263","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1264","femal","senior high","江苏省","divorce","Yes","Else","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1265","femal","junior high","江苏省","married","No","Risk Neutral","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1266","male","primary","江苏省","married","No","Little Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1267","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1268","male","primary","江苏省","married","No","Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1269","male","college","江苏省","married","No","Little Risk Preference","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1270","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1271","femal","junior high","江苏省","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1272","femal","junior high","江苏省","married","No","Risk Neutral","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1273","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1274","femal","primary","江苏省","unmarried","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1275","male","senior high","江苏省","unmarried","No","Risk Neutral","Yes","No","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1276","male","special school","江苏省","married","No","Else","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1277","male","primary","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1278","femal","junior high","江苏省","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1279","male","junior high","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1280","male","junior high","江苏省","unmarried","No","Risk Preference","No","No","none","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1281","male","special school","江苏省","married","Yes","Risk Neutral","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1282","male","junior high","江苏省","unmarried","No","Little Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1283","femal","primary","江苏省","married",NA,"Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1284","male","primary","江苏省","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1285","femal","senior high","江苏省","married","No","Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1286","male","special school","江苏省","married","No","Risk Preference","No","No","none","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1287","male","college","江苏省","widowed","No","Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1288","femal","junior high","江苏省","married","No","Risk Preference","No","No","none","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1289","femal","undergraduate","江苏省","married","No","Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1290","femal","junior high","江苏省","married","No","Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1291","male","primary","江苏省","married","No","Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1292","femal","primary","江苏省","married","No","Risk Preference","No","No","none","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"1293","femal","primary","江苏省","divorce","No","Risk Preference","No","No","none","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"1294","male","special school","江苏省","married","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1295","male","junior high","江苏省","married","Yes","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1296","femal","college","江苏省","married","No","Else","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1297","male","junior high","江苏省","married","No","Little Risk Reverse","Yes","No","one","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1298","male","special school","江苏省","married","No","Risk Neutral","No","No","none","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"1299","male","junior high","江苏省","married","No","Else","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1300","femal","none","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1301","male","none","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1302","male","primary","江苏省","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1303","femal","primary","江苏省","married","Yes","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1304","male","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"1305","male","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1306","male","junior high","江苏省","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1307","male","primary","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1308","male","primary","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1309","femal","primary","江苏省","married","No","Else","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1310","male","primary","江苏省","married","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1311","femal","college","江苏省","married","No","Risk Neutral","Yes","No","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1312","male","primary","江苏省","married",NA,"Else","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1313","male","junior high","江苏省","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1314","male","junior high","江苏省","married","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1315","male","junior high","江苏省","married","Yes","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1316","femal","undergraduate","江苏省","married","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1317","femal","junior high","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"1318","femal","primary","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1319","femal","primary","江苏省","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1320","male","primary","江苏省","married","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No"
"1321","femal","none","江苏省","widowed","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1322","male","junior high","江苏省","married","No","Little Risk Preference","No","Yes","one","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"1323","femal","undergraduate","江苏省","unmarried","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes"
"1324","male","college","江苏省","unmarried","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1325","male","junior high","江苏省","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"1326","femal","none","江苏省","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"1327","male","senior high","江苏省","married","No","Little Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"1328","femal","junior high","江苏省","married","No","Risk Neutral","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
